id,int,ts_start
0,1000,1678988223500539562
1,500,1678988224500919613
2,500,1678988225001296361
3,500,1678988225501668398
4,500,1678988226002040944
5,500,1678988226502415220
6,500,1678988227002788283
7,500,1678988227503160695
8,500,1678988228003531188
9,500,1678988228503905028
10,500,1678988229004278207
11,500,1678988229504643296
12,500,1678988230005015340
13,500,1678988230505384754
14,500,1678988231005758874
15,500,1678988231506131770
16,500,1678988232006508111
17,500,1678988232506878587
18,500,1678988233007250384
19,500,1678988233507622286
20,500,1678988234007994734
21,500,1678988234508369734
22,500,1678988235008741647
23,500,1678988235509111798
24,500,1678988236009482182
25,500,1678988236509855613
26,500,1678988237010226575
27,500,1678988237510596837
28,500,1678988238010967762
29,500,1678988238511386401
30,500,1678988239011759953
31,500,1678988239512139310
32,500,1678988240012510293
33,500,1678988240512881882
34,500,1678988241013250766
35,500,1678988241513619902
36,500,1678988242013991732
37,500,1678988242514363007
38,500,1678988243014734639
39,500,1678988243515107080
40,500,1678988244015504680
41,500,1678988244515878444
42,500,1678988245016249017
43,500,1678988245516621440
44,500,1678988246016993564
45,500,1678988246517362130
46,500,1678988247017734623
47,500,1678988247518105224
48,500,1678988248018476832
49,500,1678988248518849725
50,500,1678988249019222750
51,500,1678988249519595468
52,500,1678988250019971413
53,500,1678988250520346237
54,500,1678988251020717143
55,500,1678988251521087882
56,500,1678988252021458400
57,500,1678988252521829959
58,500,1678988253022201036
59,500,1678988253522570625
60,500,1678988254022941265
61,500,1678988254523311119
62,500,1678988255023685192
63,500,1678988255524055782
64,500,1678988256024420716
65,500,1678988256524795532
66,500,1678988257025167550
67,500,1678988257525536293
68,500,1678988258025907985
69,500,1678988258526277193
70,500,1678988259026650930
71,500,1678988259527021360
72,500,1678988260027411359
73,500,1678988260527784986
74,500,1678988261028153749
75,500,1678988261528548522
76,500,1678988262028918151
77,500,1678988262529286431
78,500,1678988263029657281
79,500,1678988263530031180
80,500,1678988264030401059
81,500,1678988264530772439
82,500,1678988265031144391
83,500,1678988265531516104
84,500,1678988266031882693
85,500,1678988266532251642
86,500,1678988267032625944
87,500,1678988267532997201
88,500,1678988268033370233
89,500,1678988268533741715
90,500,1678988269034111153
91,500,1678988269534483921
92,500,1678988270034857340
93,500,1678988270535231871
94,500,1678988271035603856
95,500,1678988271535978096
96,500,1678988272036349127
97,500,1678988272536723984
98,500,1678988273037094841
99,500,1678988273537464209
100,500,1678988274037835167
101,250,1678988274538120898
102,250,1678988274788493802
103,250,1678988275038866226
104,250,1678988275289268343
105,250,1678988275539634493
106,250,1678988275790006037
107,250,1678988276040395663
108,250,1678988276290763639
109,250,1678988276541134868
110,250,1678988276791508394
111,250,1678988277041882414
112,250,1678988277292247990
113,250,1678988277542619771
114,250,1678988277792991991
115,250,1678988278043399803
116,250,1678988278293770260
117,250,1678988278544141468
118,250,1678988278794513474
119,250,1678988279044886954
120,250,1678988279295256124
121,250,1678988279545627465
122,250,1678988279795999413
123,250,1678988280046368102
124,250,1678988280296741814
125,250,1678988280547111774
126,250,1678988280797480954
127,250,1678988281047853820
128,250,1678988281298226172
129,250,1678988281548596995
130,250,1678988281798968931
131,250,1678988282049341280
132,250,1678988282299731750
133,250,1678988282550103712
134,250,1678988282800476644
135,250,1678988283050847954
136,250,1678988283301232990
137,250,1678988283551603954
138,250,1678988283801973239
139,250,1678988284052346042
140,250,1678988284302718107
141,250,1678988284553089225
142,250,1678988284803482233
143,250,1678988285053854415
144,250,1678988285304225653
145,250,1678988285554596473
146,250,1678988285804607534
147,250,1678988286054978114
148,250,1678988286305347481
149,250,1678988286555720525
150,250,1678988286806092369
151,250,1678988287056466151
152,250,1678988287306837987
153,250,1678988287557209891
154,250,1678988287807581415
155,250,1678988288057954229
156,250,1678988288308322807
157,250,1678988288558692496
158,250,1678988288809061301
159,250,1678988289059438253
160,250,1678988289309808664
161,250,1678988289560181281
162,250,1678988289810549988
163,250,1678988290060922013
164,250,1678988290311292714
165,250,1678988290561661983
166,250,1678988290812036465
167,250,1678988291062406410
168,250,1678988291312774861
169,250,1678988291563144523
170,250,1678988291813516425
