id,int,ts_start
0,1000,1678988223498484933
1,500,1678988224500913689
2,500,1678988225003050540
3,500,1678988225505150740
4,500,1678988226005574800
5,500,1678988226506000771
6,500,1678988227006456961
7,500,1678988227506873486
8,500,1678988228007298328
9,500,1678988228507733399
10,500,1678988229008152261
11,500,1678988229508575356
12,500,1678988230009001799
13,500,1678988230509425770
14,500,1678988231009849792
15,500,1678988231510274090
16,500,1678988232010698837
17,500,1678988232511120995
18,500,1678988233011543922
19,500,1678988233511967609
20,500,1678988234012388354
21,500,1678988234512813705
22,500,1678988235013238128
23,500,1678988235513660424
24,500,1678988236014081591
25,500,1678988236514502702
26,500,1678988237014924874
27,500,1678988237515383791
28,500,1678988238015803579
29,500,1678988238516222961
30,500,1678988239016648160
31,500,1678988239517080086
32,500,1678988240017501836
33,500,1678988240517927184
34,500,1678988241018350259
35,500,1678988241518775199
36,500,1678988242019199421
37,500,1678988242519624653
38,500,1678988243020042755
39,500,1678988243520464879
40,500,1678988244020928619
41,500,1678988244521351898
42,500,1678988245021776768
43,500,1678988245522199987
44,500,1678988246022623028
45,500,1678988246523045614
46,500,1678988247023468468
47,500,1678988247523888632
48,500,1678988248024307858
49,500,1678988248524732776
50,500,1678988249025156699
51,500,1678988249525581794
52,500,1678988250026008871
53,500,1678988250526430424
54,500,1678988251026857068
55,500,1678988251527282505
56,500,1678988252027732650
57,500,1678988252528151594
58,500,1678988253028575366
59,500,1678988253528999808
60,500,1678988254029422380
61,500,1678988254529847935
62,500,1678988255030269659
63,500,1678988255530693506
64,500,1678988256031119602
65,500,1678988256531544714
66,500,1678988257031964433
67,500,1678988257532385010
68,500,1678988258032809181
69,500,1678988258533237926
70,500,1678988259033661381
71,500,1678988259534084987
72,500,1678988260034508169
73,500,1678988260534932596
74,500,1678988261035379944
75,500,1678988261535807085
76,500,1678988262036229214
77,500,1678988262536655443
78,500,1678988263037079417
79,500,1678988263537500472
80,500,1678988264037924080
81,500,1678988264538344537
82,500,1678988265038768890
83,500,1678988265539226583
84,500,1678988266039681325
85,500,1678988266540101325
86,500,1678988267040542940
87,500,1678988267540967290
88,500,1678988268041389289
89,500,1678988268541813420
90,500,1678988269042238746
91,500,1678988269542665357
92,500,1678988270043099163
93,500,1678988270543525667
94,500,1678988271043944891
95,500,1678988271544363588
96,500,1678988272044788336
97,500,1678988272545212154
98,500,1678988273045634945
99,500,1678988273546063826
100,500,1678988274046487647
101,250,1678988274546922294
102,250,1678988274797343948
103,250,1678988275047764271
104,250,1678988275298188568
105,250,1678988275548613227
106,250,1678988275799034902
107,250,1678988276049458432
108,250,1678988276299879605
109,250,1678988276550304420
110,250,1678988276800729330
111,250,1678988277051154678
112,250,1678988277301579537
113,250,1678988277551999116
114,250,1678988277802420279
115,250,1678988278052860343
116,250,1678988278303286371
117,250,1678988278553711756
118,250,1678988278804130205
119,250,1678988279054552020
120,250,1678988279304974962
121,250,1678988279555438628
122,250,1678988279805885027
123,250,1678988280056305060
124,250,1678988280306730290
125,250,1678988280557153719
126,250,1678988280807576151
127,250,1678988281058002173
128,250,1678988281308421957
129,250,1678988281558844952
130,250,1678988281809269235
131,250,1678988282059695003
132,250,1678988282310120462
133,250,1678988282560543167
134,250,1678988282810965148
135,250,1678988283061389616
136,250,1678988283311808185
137,250,1678988283562229041
138,250,1678988283812646057
139,250,1678988284063069544
140,250,1678988284313491642
141,250,1678988284563910222
142,250,1678988284814335420
143,250,1678988285064754556
144,250,1678988285315177958
145,250,1678988285565601965
146,250,1678988285816027179
147,250,1678988286066450546
148,250,1678988286316881452
149,250,1678988286567363354
150,250,1678988286817788216
151,250,1678988287068211811
152,250,1678988287318635719
153,250,1678988287569057231
154,250,1678988287819505654
155,250,1678988288069938347
156,250,1678988288320357599
157,250,1678988288570779720
158,250,1678988288821203196
159,250,1678988289071631731
160,250,1678988289322055383
161,250,1678988289572476001
162,250,1678988289822903913
163,250,1678988290073324417
164,250,1678988290323743484
165,250,1678988290574168106
166,250,1678988290824587264
167,250,1678988291075009024
168,250,1678988291325429774
169,250,1678988291575847312
170,250,1678988291826272736
171,250,1678988292076689779
172,250,1678988292327113732
173,250,1678988292577534914
